=== ciu ===
CIU_CHIP_ID                  0xd4282c00 0x00B02128
CIU_CPU_CONF                 0xd4282c08 0x0F900908
CIU_CPU_SRAM_SPD             0xd4282c10 0x00000FF1
CIU_CPU_L2C_SRAM_SPD         0xd4282c18 0x26294631
CIU_MCB_CONF                 0xd4282c1c 0x00000009
CIU_SYS_BOOT_CNTRL           0xd4282c20 0x00010001
CIU_SW_BRANCH_ADDR           0xd4282c24 0x00D09AAC
CIU_PERF_COUNT0_CNTRL        0xd4282c28 0x00099996
CIU_PERF_COUNT1_CNTRL        0xd4282c2c 0x99999999
CIU_PERF_COUNT2_CNTRL        0xd4282c30 0x00000000
CIU_PERF_COUNT0              0xd4282c34 0x00000000
CIU_PERF_COUNT1              0xd4282c38 0x00000000
CIU_PERF_COUNT2              0xd4282c3c 0x00000000
CIU_MC_CONF                  0xd4282c40 0x00000000
CIU_MCB_SRAM_SPD             0xd4282c44 0x00000000
CIU_AXI_SRAM_SPD             0xd4282c48 0x0000000C
CIU_DDR_ILV_CTRL             0xd4282ca0 0x00000008
CIU_FABRIC_CKGT_CTRL0        0xd4282c64 0xFE00AAAA
CIU_FABRIC_CKGT_CTRL1        0xd4282c68 0xFFFFFFFC
CIU_FABRIC_CKGT_CTRL2        0xd4282cdc 0x00000000
CIU_CA9_CPU_CORE0_CONF       0xd4282cd0 0x00000000
CIU_CA9_CPU_CORE1_CONF       0xd4282ce0 
CIU_WARM_RESET_VECTOR        0xd4282cd8 0x00000000
CIU_GPU_XTC_REG              0xd4282ca4 0x00000110
CIU_VPU_XTC_REG              0xd4282ca8 0x00000112
CIU_CA9_CPU_CONF_SRAM0       0xd4282cc8 0x00000066
CIU_CA9_CPU_CONF_SRAM1       0xd4282ccc 0x00000000

UNK1 e000.0000               0xd4282c94 0xE0000000
UNK2 ffffe001 fff0.0001      0xd4282c9c 0xFFFFE001

=== mpmu ===
MPMU_CPCR              0xd4050000 0xFF086000
MPMU_FCCR              0xd4050008 0x41800000
MPMU_POCR              0xd405000c 0x00E50FFF
MPMU_POSR              0xd4050010 0x31C50000
MPMU_SUCCR             0xd4050014 0x1FBD0600
MPMU_VRCR              0xd4050018 0x00000000
MPMU_OHCR              0xd405001c 0xFF086000
MPMU_CPRR              0xd4050020 0x00000011
MPMU_CCGR              0xd4050024 0xDFFEFFFE
MPMU_GPCR              0xd4050030 0x00000000
MPMU_PLL2CR            0xd4050034 0x001C5300
MPMU_SCCR              0xd4050038 0x00000004
MPMU_ISCCRX0           0xd4050040 0x5820130B
MPMU_ISCCRX1           0xd4050044 0x5820130B
MPMU_CWUCRM            0xd405004c 0x00000000
MPMU_PLL1_REG1         0xd4050050 0x001A5B00
MPMU_PLL1_REG2         0xd4050054 0x00004696
MPMU_PLL1_SSC          0xd4050058 0x25290499
MPMU_PLL2_REG1         0xd4050060 0x00000001
MPMU_PLL2_REG2         0xd4050064 0x00000000
MPMU_PLL2_SSC          0xd4050068 0x000004D1
MPMU_SD_ROT_WAKE_CLR   0xd405007c 0xFF086000
MPMU_PLL2_CTRL1        0xd4050414 0x25390699
MPMU_PLL2_CTRL2        0xd4050418 0x00000001
MPMU_PLL1_CTRL         0xd405005c 0x05190299
